"Organization","EIN","UEI","Federal.grantor","Federal.CFDA.Number","Contract.Number","Passed.through.to.subrecipients","Federal.Expenditures","Direct.Pass.Program","Grantor","Program.Title","Type.of.Program","Funding.Source","Amount.Per.San.Diegan","Amount.Per.PEH","Combined","Category","Year","X","X.1","X.2","X.3","X.4","X.5","ExpenditureType"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Health and Human Services","93.659","N/A","0","250,000","Pass-Through","State of California","Private Adoption Agency Reimbursement Program","Adoption Assistance","Federal","$0.08","#N/A","Private Adoption Agency Reimbursement Program|Adoption Assistance","#N/A",2016,NA,NA,NA,NA,NA,"","Diversion"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Health and Human Services","93.958","N/A","0","25,000","Pass-Through","Bilateral Safety Corridor Coalition","Bilateral Safety Corridor Coalition","Block Grants for Community Mental Health Services","Federal","$0.01","#N/A","Bilateral Safety Corridor Coalition|Block Grants for Community Mental Health Services","#N/A",2016,NA,NA,NA,NA,NA,"","Crisis Management"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Housing and Urban Development","14.218","N/A","0","3,225","Pass-Through","City of Encinitas","La Posada De Guadalupe Operations","Community Development Block Grants/Entitlement Grants","Federal","$0.00","#N/A","La Posada De Guadalupe Operations|Community Development Block Grants/Entitlement Grants","#N/A",2016,NA,NA,NA,NA,NA,"","Crisis Management"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Housing and Urban Development","14.218","N/A","0","18,069","Pass-Through","City of Carlsbad","La Posada De Guadalupe Operations","Community Development Block Grants/Entitlement Grants","Federal","$0.01","#N/A","La Posada De Guadalupe Operations|Community Development Block Grants/Entitlement Grants","#N/A",2016,NA,NA,NA,NA,NA,"","Crisis Management"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Housing and Urban Development","14.218","N/A","0","8,000","Pass-Through","City of El Centro","House of Hope","Community Development Block Grants/Entitlement Grants","Federal","$0.00","#N/A","House of Hope|Community Development Block Grants/Entitlement Grants","#N/A",2016,NA,NA,NA,NA,NA,"","Crisis Management"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Housing and Urban Development","14.218","N/A","0","12,000","Pass-Through","City of El Centro","Senior Nutrition Program","Community Development Block Grants/Entitlement Grants","Federal","$0.00","#N/A","Senior Nutrition Program|Community Development Block Grants/Entitlement Grants","#N/A",2016,NA,NA,NA,NA,NA,"","Crisis Management"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Homeland Security","97.009","N/A","0","20,880","Direct Program","United States Conference of Catholic Bishops","Cuban/Haitian Resettlement","Cuban/Haitian Entrant Program","Federal","$0.01","#N/A","Cuban/Haitian Resettlement|Cuban/Haitian Entrant Program","#N/A",2016,NA,NA,NA,NA,NA,"","Prevention"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Homeland Security","97.009","N/A","0","130,065","Direct Program","United States Conference of Catholic Bishops","Cuban/Haitian Entrant Program","Cuban/Haitian Entrant Program","Federal","$0.04","#N/A","Cuban/Haitian Entrant Program|Cuban/Haitian Entrant Program","#N/A",2016,NA,NA,NA,NA,NA,"","Prevention"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Homeland Security","97.024","N/A","0","773","Pass-Through","Imperial Valley Housing Authority","House of Hope & Our Lady of Guadalupe","Emergency Food and Shelter National Board Program","Federal","$0.00","#N/A","House of Hope & Our Lady of Guadalupe|Emergency Food and Shelter National Board Program","#N/A",2016,NA,NA,NA,NA,NA,"","Crisis Management"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Health and Human Services","93.567","N/A","0","62,116","Pass-Through","United States Conference of Catholic Bishops and ORR","Match Grant","Refugee and Entrant Assistance - Voluntary Agency Programs","Federal","$0.02","#N/A","Match Grant|Refugee and Entrant Assistance - Voluntary Agency Programs","#N/A",2016,NA,NA,NA,NA,NA,"","Prevention"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of State Bureau of Population, Refugees, and Migration","19.51","N/A","0","1,056,916","Pass-Through","United States Conference of Catholic Bishops","Immigration and Nationality Act, as Amended - Refugee Reception and Placement II","U.S. Refugee Admissions Program","Federal","$0.32","#N/A","Immigration and Nationality Act, as Amended - Refugee Reception and Placement II|U.S. Refugee Admissions Program","#N/A",2016,NA,NA,NA,NA,NA,"","Prevention"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Health and Human Services","93.659","N/A","0","180,000","Pass-Through","State of California","Private Adoption Agency Reimbursement Program","Adoption Assistance","Federal","$0.05","#N/A","Private Adoption Agency Reimbursement Program|Adoption Assistance","#N/A",2018,NA,NA,NA,NA,NA,"","Diversion"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Housing and Urban Development","14.218","N/A","0","17,581","Pass-Through","City of Encinitas","La Posada De Guadalupe Operations","Community Development Block Grants/Entitlement Grants","Federal","$0.01","#N/A","La Posada De Guadalupe Operations|Community Development Block Grants/Entitlement Grants","#N/A",2018,NA,NA,NA,NA,NA,"","Crisis Management"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Housing and Urban Development","14.218","N/A","0","14,426","Pass-Through","City of El Centro","Senior Nutrition Program","Community Development Block Grants/Entitlement Grants","Federal","$0.00","#N/A","Senior Nutrition Program|Community Development Block Grants/Entitlement Grants","#N/A",2018,NA,NA,NA,NA,NA,"","Crisis Management"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Housing and Urban Development","14.218","N/A","0","6,500","Pass-Through","City of El Centro","House of Hope","Community Development Block Grants/Entitlement Grants","Federal","$0.00","#N/A","House of Hope|Community Development Block Grants/Entitlement Grants","#N/A",2018,NA,NA,NA,NA,NA,"","Crisis Management"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Housing and Urban Development","14.218","N/A","0","5,829","Pass-Through","City of Carlsbad","La Posada De Guadalupe Operations","Community Development Block Grants/Entitlement Grants","Federal","$0.00","#N/A","La Posada De Guadalupe Operations|Community Development Block Grants/Entitlement Grants","#N/A",2018,NA,NA,NA,NA,NA,"","Crisis Management"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Homeland Security","97.009","N/A","0","260,181","Pass-Through","United States Conference of Catholic Bishops","Cuban/Haitian Entrant Program","Cuban/Haitian Entrant Program","Federal","$0.08","#N/A","Cuban/Haitian Entrant Program|Cuban/Haitian Entrant Program","#N/A",2018,NA,NA,NA,NA,NA,"","Prevention"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Health and Human Services","93.567","N/A","0","128,496","Pass-Through","United States Conference of Catholic Bishops and ORR","None","Refugee and Entrant Assistance - Voluntary Agency Programs","Federal","$0.04","#N/A","None|Refugee and Entrant Assistance - Voluntary Agency Programs","#N/A",2018,NA,NA,NA,NA,NA,"","Prevention"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Health and Human Services","93.598","N/A","0","242","Pass-Through","United States Conference of Catholic Bishops and ORR","None","Services to Victims of a Severe Form of Trafficking","Federal","$0.00","#N/A","None|Services to Victims of a Severe Form of Trafficking","#N/A",2018,NA,NA,NA,NA,NA,"","Crisis Management"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of State Bureau of Population, Refugees, and Migration","19.51","N/A","0","525,371","Pass-Through","United States Conference of Catholic Bishops","Immigration and Nationality Act, as Amended - Refugee Reception and Placement II","U.S. Refugee Admissions Program","Federal","$0.16","#N/A","Immigration and Nationality Act, as Amended - Refugee Reception and Placement II|U.S. Refugee Admissions Program","#N/A",2018,NA,NA,NA,NA,NA,"","Prevention"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Health and Human Services","93.659","N/A","0","80,000","Pass-Through","State of California","Private Adoption Agency Reimbursement Program","Adoption Assistance","Federal","$0.02","$18.33","Private Adoption Agency Reimbursement Program|Adoption Assistance","#N/A",2019,NA,NA,NA,NA,NA,"","Diversion"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Housing and Urban Development","14.218","N/A","0","6,707","Pass-Through","City of Encinitas","La Posada De Guadalupe Operations","Community Development Block Grants/Entitlement Grants","Federal","$0.00","$1.54","La Posada De Guadalupe Operations|Community Development Block Grants/Entitlement Grants","#N/A",2019,NA,NA,NA,NA,NA,"","Crisis Management"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Housing and Urban Development","14.218","N/A","0","15,000","Pass-Through","City of El Centro","Senior Nutrition Program","Community Development Block Grants/Entitlement Grants","Federal","$0.00","$3.44","Senior Nutrition Program|Community Development Block Grants/Entitlement Grants","#N/A",2019,NA,NA,NA,NA,NA,"","Crisis Management"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Housing and Urban Development","14.218","N/A","0","6,025","Pass-Through","City of El Centro","House of Hope","Community Development Block Grants/Entitlement Grants","Federal","$0.00","$1.38","House of Hope|Community Development Block Grants/Entitlement Grants","#N/A",2019,NA,NA,NA,NA,NA,"","Crisis Management"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Housing and Urban Development","14.218","N/A","0","22,000","Pass-Through","City of Carlsbad","La Posada De Guadalupe Operations","Community Development Block Grants/Entitlement Grants","Federal","$0.01","$5.04","La Posada De Guadalupe Operations|Community Development Block Grants/Entitlement Grants","#N/A",2019,NA,NA,NA,NA,NA,"","Crisis Management"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Homeland Security","97.009","N/A","0","7,867","Pass-Through","United States Conference of Catholic Bishops","Cuban/Haitian Entrant Program","Cuban/Haitian Entrant Program","Federal","$0.00","$1.80","Cuban/Haitian Entrant Program|Cuban/Haitian Entrant Program","#N/A",2019,NA,NA,NA,NA,NA,"","Prevention"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Homeland Security","97.024","N/A","1,175,091","112,517","Pass-Through","(EFSP) Phase 35","Emergency Food and Shelter Program","Emergency Food and Shelter National Board Program","Federal","$0.03","$25.78","Emergency Food and Shelter Program|Emergency Food and Shelter National Board Program","#N/A",2019,NA,NA,NA,NA,NA,"","Crisis Management"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Homeland Security","97.024","N/A","0","56,702","Pass-Through","(EFSP) Phase 35","Emergency Food and Shelter Program","Emergency Food and Shelter National Board Program","Federal","$0.02","$12.99","Emergency Food and Shelter Program|Emergency Food and Shelter National Board Program","#N/A",2019,NA,NA,NA,NA,NA,"","Crisis Management"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Health and Human Services","93.567","N/A","0","71,291","Pass-Through","United States Conference of Catholic Bishops and ORR","None","Refugee and Entrant Assistance - Voluntary Agency Programs","Federal","$0.02","$16.34","None|Refugee and Entrant Assistance - Voluntary Agency Programs","#N/A",2019,NA,NA,NA,NA,NA,"","Prevention"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Health and Human Services","93.584","N/A","23,410","7,301","Direct Program","Office of Refugee Resettlement","Wilson/Fish Project Targeted Assistance","Refugee and Entrant Assistance Targeted Assistance Grants","Federal","$0.00","$1.67","Wilson/Fish Project Targeted Assistance|Refugee and Entrant Assistance Targeted Assistance Grants","#N/A",2019,NA,NA,NA,NA,NA,"","Prevention"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Health and Human Services","93.584","N/A","11,097","26,304","Direct Program","Office of Refugee Resettlement","Wilson/Fish Project Targeted Assistance","Refugee and Entrant Assistance Targeted Assistance Grants","Federal","$0.01","$6.03","Wilson/Fish Project Targeted Assistance|Refugee and Entrant Assistance Targeted Assistance Grants","#N/A",2019,NA,NA,NA,NA,NA,"","Prevention"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Health and Human Services","93.584","N/A","17,430","54,102","Direct Program","Office of Refugee Resettlement","Wilson/Fish Project Targeted Assistance","Refugee and Entrant Assistance Targeted Assistance Grants","Federal","$0.02","$12.40","Wilson/Fish Project Targeted Assistance|Refugee and Entrant Assistance Targeted Assistance Grants","#N/A",2019,NA,NA,NA,NA,NA,"","Prevention"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Health and Human Services","93.598","N/A","0","19,225","Pass-Through","United States Conference of Catholic Bishops and ORR","None","Services to Victims of a Severe Form of Trafficking","Federal","$0.01","$4.41","None|Services to Victims of a Severe Form of Trafficking","#N/A",2019,NA,NA,NA,NA,NA,"","Crisis Management"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of State Bureau of Population, Refugees, and Migration","19.51","N/A","0","325,546","Pass-Through","United States Conference of Catholic Bishops","Immigration &  Nationality Act (R&P),  – Refugee Reception &  Placement II","U.S. Refugee Admissions Program","Federal","$0.10","$74.60","Immigration &  Nationality Act (R&P),  – Refugee Reception &  Placement II|U.S. Refugee Admissions Program","#N/A",2019,NA,NA,NA,NA,NA,"","Prevention"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Housing and Urban Development","14.218","N/A","0","8,500","Pass-Through","City of El Centro","House of Hope","Community Development Block Grants/Entitlement Grants","Federal","$0.00","#N/A","House of Hope|Community Development Block Grants/Entitlement Grants","#N/A",2020,NA,NA,NA,NA,NA,"","Crisis Management"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Housing and Urban Development","14.218","N/A","0","20,000","Pass-Through","City of Carlsbad","La Posada De Guadalupe Operations","Community Development Block Grants/Entitlement Grants","Federal","$0.01","#N/A","La Posada De Guadalupe Operations|Community Development Block Grants/Entitlement Grants","#N/A",2020,NA,NA,NA,NA,NA,"","Crisis Management"
