"Unique.ID","Grantor","Grantee","Program","Year","Date","EndDate","Amount","AmendmentNumber","Funding.Agency","Funding.Source","Category","Location","Issued","Funding.Type","Years","Average.By.Year","City.Year","Population","Amount.Per.Capita","Amount.Per.PEH","Population.PEH","ExpenditureType"
"","City of Chula Vista","SBCS CORPORATION","Tenant-Based Rental Assistance",2018,"6/30/2018","","$4,125.60","","","HOME","#N/A","","","",NA,"","City of Chula Vista|2018","268588","$0.02","$22.42","184","Prevention"
"","City of Chula Vista","SBCS CORPORATION","Tenant-Based Rental Assistance",2018,"6/30/2018","","$3,206.60","","","HOME","#N/A","","","",NA,"","City of Chula Vista|2018","268588","$0.01","$17.43","184","Prevention"
"","City of Chula Vista","SBCS CORPORATION","Tenant-Based Rental Assistance",2018,"6/30/2018","","$3,206.60","","","HOME","#N/A","","","",NA,"","City of Chula Vista|2018","268588","$0.01","$17.43","184","Prevention"
"","City of Chula Vista","SBCS CORPORATION","Tenant-Based Rental Assistance",2018,"6/30/2018","","$1,743.03","","","HOME","#N/A","","","",NA,"","City of Chula Vista|2018","268588","$0.01","$9.47","184","Prevention"
"1045","City of Chula Vista","SBCS CORPORATION","Rapid Re-Housing",2018,"6/30/2018","","$1,677.00","","","ESG","Rapid Rehousing Services","","","",NA,"","City of Chula Vista|2018","268588","$0.01","$9.11","184","Diversion"
"1066","City of Chula Vista","SBCS CORPORATION","Hotel/Motel Voucher",2018,"6/30/2018","","$16,309.26","","","CDBG","#N/A","","","",NA,"","City of Chula Vista|2018","268588","$0.06","$88.64","184","Crisis Management"
"1068","City of Chula Vista","SBCS CORPORATION","Homeless Services",2018,"6/30/2018","","$14,064.00","","","CDBG","Supportive Services","","","",NA,"","City of Chula Vista|2018","268588","$0.05","$76.43","184","Crisis Management"
"1083","City of Chula Vista","SBCS CORPORATION","Rapid Re-Housing",2018,"6/30/2018","","$8,645.00","","","ESG","Rapid Rehousing Services","","","",NA,"","City of Chula Vista|2018","268588","$0.03","$46.98","184","Diversion"
"1084","City of Chula Vista","SBCS CORPORATION","Rapid Re-Housing",2018,"6/30/2018","","$966.00","","","ESG","Rapid Rehousing Services","","","",NA,"","City of Chula Vista|2018","268588","$0.00","$5.25","184","Diversion"
"17088","City of Chula Vista","SBCS CORPORATION","Tenant-Based Rental Assistance",2018,"6/30/2018","","$2,610.05","","","HOME","#N/A","","","",NA,"","City of Chula Vista|2018","268588","$0.01","$14.19","184","Prevention"
"17088","City of Chula Vista","SBCS CORPORATION","Tenant-Based Rental Assistance",2018,"6/30/2018","","$4,107.36","","","HOME","#N/A","","","",NA,"","City of Chula Vista|2018","268588","$0.02","$22.32","184","Prevention"
"17088","City of Chula Vista","SBCS CORPORATION","Tenant-Based Rental Assistance",2018,"6/30/2018","","$3,206.40","","","HOME","#N/A","","","",NA,"","City of Chula Vista|2018","268588","$0.01","$17.43","184","Prevention"
"17088","City of Chula Vista","SBCS CORPORATION","Tenant-Based Rental Assistance",2018,"6/30/2018","","$8,248.30","","","HOME","#N/A","","","",NA,"","City of Chula Vista|2018","268588","$0.03","$44.83","184","Prevention"
"17088","City of Chula Vista","SBCS CORPORATION","Tenant-Based Rental Assistance",2018,"6/30/2018","","$7,184.28","","","HOME","#N/A","","","",NA,"","City of Chula Vista|2018","268588","$0.03","$39.05","184","Prevention"
"17088","City of Chula Vista","SBCS CORPORATION","Tenant-Based Rental Assistance",2018,"6/30/2018","","$9,329.00","","","HOME","#N/A","","","",NA,"","City of Chula Vista|2018","268588","$0.03","$50.70","184","Prevention"
"17088","City of Chula Vista","SBCS CORPORATION","Tenant-Based Rental Assistance",2018,"6/30/2018","","$11,546.21","","","HOME","#N/A","","","",NA,"","City of Chula Vista|2018","268588","$0.04","$62.75","184","Prevention"
"17088","City of Chula Vista","SBCS CORPORATION","Tenant-Based Rental Assistance",2018,"11/6/2018","","$11,351.06","","","HOME","#N/A","","","",NA,"","City of Chula Vista|2018","268588","$0.04","$61.69","184","Prevention"
"17088","City of Chula Vista","SBCS CORPORATION","Tenant-Based Rental Assistance",2018,"11/6/2018","","$10,160.22","","","HOME","#N/A","","","",NA,"","City of Chula Vista|2018","268588","$0.04","$55.22","184","Prevention"
"1045","City of Chula Vista","SBCS CORPORATION","Rapid Re-Housing",2018,"11/7/2018","","$888.00","","","ESG","Rapid Rehousing Services","","","",NA,"","City of Chula Vista|2018","268588","$0.00","$4.83","184","Diversion"
"1045","City of Chula Vista","SBCS CORPORATION","Rapid Re-Housing",2018,"11/7/2018","","$888.00","","","ESG","Rapid Rehousing Services","","","",NA,"","City of Chula Vista|2018","268588","$0.00","$4.83","184","Diversion"
"1084","City of Chula Vista","SBCS CORPORATION","Rapid Re-Housing",2018,"11/7/2018","","$966.00","","","ESG","Rapid Rehousing Services","","","",NA,"","City of Chula Vista|2018","268588","$0.00","$5.25","184","Diversion"
"1084","City of Chula Vista","SBCS CORPORATION","Rapid Re-Housing",2018,"11/7/2018","","$2,562.00","","","ESG","Rapid Rehousing Services","","","",NA,"","City of Chula Vista|2018","268588","$0.01","$13.92","184","Diversion"
"1084","City of Chula Vista","SBCS CORPORATION","Rapid Re-Housing",2018,"11/7/2018","","$5,178.00","","","ESG","Rapid Rehousing Services","","","",NA,"","City of Chula Vista|2018","268588","$0.02","$28.14","184","Diversion"
"17088","City of Chula Vista","SBCS CORPORATION","Tenant-Based Rental Assistance",2018,"11/7/2018","","$11,346.00","","","HOME","#N/A","","","",NA,"","City of Chula Vista|2018","268588","$0.04","$61.66","184","Prevention"
"1095","City of Chula Vista","INTERFAITH SHELTER NETWORK","Rotational Shelter",2019,"1/7/2019","","$1,628.50","","","CDBG","#N/A","","","",NA,"","City of Chula Vista|2019","271362","$0.01","$5.07","321","Crisis Management"
"1095","City of Chula Vista","INTERFAITH SHELTER NETWORK","Rotational Shelter",2019,"1/17/2019","","$1,844.18","","","CDBG","#N/A","","","",NA,"","City of Chula Vista|2019","271362","$0.01","$5.75","321","Crisis Management"
"1084","City of Chula Vista","SBCS CORPORATION","Rapid Re-Housing",2019,"2/14/2019","","$2,397.00","","","ESG","Rapid Rehousing Services","","","",NA,"","City of Chula Vista|2019","271362","$0.01","$7.47","321","Diversion"
"1084","City of Chula Vista","SBCS CORPORATION","Rapid Re-Housing",2019,"2/14/2019","","$2,657.00","","","ESG","Rapid Rehousing Services","","","",NA,"","City of Chula Vista|2019","271362","$0.01","$8.28","321","Diversion"
"17088","City of Chula Vista","SBCS CORPORATION","Tenant-Based Rental Assistance",2019,"3/14/2019","","$12,761.74","","","HOME","#N/A","","","",NA,"","City of Chula Vista|2019","271362","$0.05","$39.76","321","Prevention"
"17088","City of Chula Vista","SBCS CORPORATION","Tenant-Based Rental Assistance",2019,"3/14/2019","","$20,868.56","","","HOME","#N/A","","","",NA,"","City of Chula Vista|2019","271362","$0.08","$65.01","321","Prevention"
"17088","City of Chula Vista","SBCS CORPORATION","Tenant-Based Rental Assistance",2019,"3/14/2019","","$17,930.50","","","HOME","#N/A","","","",NA,"","City of Chula Vista|2019","271362","$0.07","$55.86","321","Prevention"
"17088","City of Chula Vista","SBCS CORPORATION","Tenant-Based Rental Assistance",2019,"3/14/2019","","$17,681.21","","","HOME","#N/A","","","",NA,"","City of Chula Vista|2019","271362","$0.07","$55.08","321","Prevention"
"17088","City of Chula Vista","SBCS CORPORATION","Tenant-Based Rental Assistance",2019,"3/14/2019","","$18,030.42","","","HOME","#N/A","","","",NA,"","City of Chula Vista|2019","271362","$0.07","$56.17","321","Prevention"
"1045","City of Chula Vista","SBCS CORPORATION","Rapid Re-Housing",2019,"4/24/2019","","$2,774.00","","","ESG","Rapid Rehousing Services","","","",NA,"","City of Chula Vista|2019","271362","$0.01","$8.64","321","Diversion"
"17088","City of Chula Vista","SBCS CORPORATION","Tenant-Based Rental Assistance",2019,"5/15/2019","","$17,046.65","","","HOME","#N/A","","","",NA,"","City of Chula Vista|2019","271362","$0.06","$53.10","321","Prevention"
"17088","City of Chula Vista","SBCS CORPORATION","Tenant-Based Rental Assistance",2019,"5/15/2019","","$17,535.70","","","HOME","#N/A","","","",NA,"","City of Chula Vista|2019","271362","$0.06","$54.63","321","Prevention"
"1084","City of Chula Vista","SBCS CORPORATION","Rapid Re-Housing",2019,"6/11/2019","","$3,183.00","","","ESG","Rapid Rehousing Services","","","",NA,"","City of Chula Vista|2019","271362","$0.01","$9.92","321","Diversion"
"17088","City of Chula Vista","SBCS CORPORATION","Tenant-Based Rental Assistance",2019,"6/25/2019","","$19,640.18","","","HOME","#N/A","","","",NA,"","City of Chula Vista|2019","271362","$0.07","$61.18","321","Prevention"
"16111-A2","City of Chula Vista","SBCS CORPORATION","Rapid Re-Housing",2019,"6/25/2019","","$27,441.65","","","ESG","Rapid Rehousing Services","","","",NA,"","City of Chula Vista|2019","271362","$0.10","$85.49","321","Diversion"
"1095","City of Chula Vista","INTERFAITH SHELTER NETWORK","Rotational Shelter",2019,"6/26/2019","","$4,742.06","","","CDBG","#N/A","","","",NA,"","City of Chula Vista|2019","271362","$0.02","$14.77","321","Crisis Management"
"16111-A2","City of Chula Vista","SBCS CORPORATION","Rapid Re-Housing",2019,"6/26/2019","","$6,888.37","","","ESG","Rapid Rehousing Services","","","",NA,"","City of Chula Vista|2019","271362","$0.03","$21.46","321","Diversion"
"1045","City of Chula Vista","SBCS CORPORATION","Rapid Re-Housing",2019,"6/30/2019","","$242.00","","","ESG","Rapid Rehousing Services","","","",NA,"","City of Chula Vista|2019","271362","$0.00","$0.75","321","Diversion"
"17088","City of Chula Vista","SBCS CORPORATION","Tenant-Based Rental Assistance",2019,"6/30/2019","","$17,006.05","","","HOME","#N/A","","","",NA,"","City of Chula Vista|2019","271362","$0.06","$52.98","321","Prevention"
"1094","City of Chula Vista","SBCS CORPORATION","Hotel/Motel Voucher",2019,"6/30/2019","","$14,828.20","","","CDBG","#N/A","","","",NA,"","City of Chula Vista|2019","271362","$0.05","$46.19","321","Crisis Management"
"1094","City of Chula Vista","SBCS CORPORATION","Hotel/Motel Voucher",2019,"6/30/2019","","$35,171.80","","","CDBG","#N/A","","","",NA,"","City of Chula Vista|2019","271362","$0.13","$109.57","321","Crisis Management"
"1095","City of Chula Vista","INTERFAITH SHELTER NETWORK","Rotational Shelter",2019,"6/30/2019","","$2,785.26","","","CDBG","#N/A","","","",NA,"","City of Chula Vista|2019","271362","$0.01","$8.68","321","Crisis Management"
"1096","City of Chula Vista","SBCS CORPORATION","Homeless Services",2019,"6/30/2019","","$6,172.12","","","CDBG","Supportive Services","","","",NA,"","City of Chula Vista|2019","271362","$0.02","$19.23","321","Crisis Management"
"1096","City of Chula Vista","SBCS CORPORATION","Homeless Services",2019,"6/30/2019","","$8,960.19","","","CDBG","Supportive Services","","","",NA,"","City of Chula Vista|2019","271362","$0.03","$27.91","321","Crisis Management"
"1096","City of Chula Vista","SBCS CORPORATION","Homeless Services",2019,"6/30/2019","","$12,326.28","","","CDBG","Supportive Services","","","",NA,"","City of Chula Vista|2019","271362","$0.05","$38.40","321","Crisis Management"
"16111-A2","City of Chula Vista","SBCS CORPORATION","Rapid Re-Housing",2019,"6/30/2019","","$7,850.00","","","ESG","Rapid Rehousing Services","","","",NA,"","City of Chula Vista|2019","271362","$0.03","$24.45","321","Diversion"
"16111-A2","City of Chula Vista","SBCS CORPORATION","Rapid Re-Housing",2019,"6/30/2019","","$7,016.37","","","ESG","Rapid Rehousing Services","","","",NA,"","City of Chula Vista|2019","271362","$0.03","$21.86","321","Diversion"
"1096","City of Chula Vista","SBCS CORPORATION","Homeless Services",2019,"7/8/2019","","$12,091.41","","","CDBG","Supportive Services","","","",NA,"","City of Chula Vista|2019","271362","$0.04","$37.67","321","Crisis Management"
"1130","City of Chula Vista","COMMUNITY THROUGH HOPE","Project H.O.P.E.",2019,"9/24/2019","","$3,750.00","","","CDBG","#N/A","","","",NA,"","City of Chula Vista|2019","271362","$0.01","$11.68","321","Crisis Management"
"","City of Chula Vista","ONE TIME VENDOR","Hotel/Motel Voucher",2019,"9/30/2019","","$111.30","","","CDBG","#N/A","","","",NA,"","City of Chula Vista|2019","271362","$0.00","$0.35","321","Crisis Management"
"17088","City of Chula Vista","SBCS CORPORATION","Tenant-Based Rental Assistance",2019,"10/15/2019","","$15,938.00","","","HOME","#N/A","","","",NA,"","City of Chula Vista|2019","271362","$0.06","$49.65","321","Prevention"
"17088","City of Chula Vista","SBCS CORPORATION","Tenant-Based Rental Assistance",2019,"10/15/2019","","$14,754.00","","","HOME","#N/A","","","",NA,"","City of Chula Vista|2019","271362","$0.05","$45.96","321","Prevention"
"17088","City of Chula Vista","SBCS CORPORATION","Tenant-Based Rental Assistance",2019,"11/12/2019","","$14,493.00","","","HOME","#N/A","","","",NA,"","City of Chula Vista|2019","271362","$0.05","$45.15","321","Prevention"
"16111-A2","City of Chula Vista","SBCS CORPORATION","Rapid Re-Housing",2019,"11/12/2019","","$19,576.00","","","ESG","Rapid Rehousing Services","","","",NA,"","City of Chula Vista|2019","271362","$0.07","$60.98","321","Diversion"
"17088","City of Chula Vista","SBCS CORPORATION","Tenant-Based Rental Assistance",2019,"11/22/2019","","$11,302.00","","","HOME","#N/A","","","",NA,"","City of Chula Vista|2019","271362","$0.04","$35.21","321","Prevention"
"","City of Chula Vista","ONE TIME VENDOR","Hotel/Motel Voucher",2019,"11/29/2019","","$423.16","","","CDBG","#N/A","","","",NA,"","City of Chula Vista|2019","271362","$0.00","$1.32","321","Crisis Management"
"","City of Chula Vista","ONE TIME VENDOR","Hotel/Motel Voucher",2019,"11/29/2019","","$573.85","","","CDBG","#N/A","","","",NA,"","City of Chula Vista|2019","271362","$0.00","$1.79","321","Crisis Management"
"","City of Chula Vista","ONE TIME VENDOR","Hotel/Motel Voucher",2019,"11/29/2019","","$248.45","","","CDBG","#N/A","","","",NA,"","City of Chula Vista|2019","271362","$0.00","$0.77","321","Crisis Management"
"","City of Chula Vista","ONE TIME VENDOR","Hotel/Motel Voucher",2019,"11/29/2019","","$50.00","","","CDBG","#N/A","","","",NA,"","City of Chula Vista|2019","271362","$0.00","$0.16","321","Crisis Management"
"1121","City of Chula Vista","SBCS CORPORATION","Homeless Services",2019,"12/2/2019","","$6,149.00","","","CDBG","Supportive Services","","","",NA,"","City of Chula Vista|2019","271362","$0.02","$19.16","321","Crisis Management"
"1130","City of Chula Vista","COMMUNITY THROUGH HOPE","Project H.O.P.E.",2019,"12/2/2019","","$2,500.00","","","CDBG","#N/A","","","",NA,"","City of Chula Vista|2019","271362","$0.01","$7.79","321","Crisis Management"
"16111-A2","City of Chula Vista","SBCS CORPORATION","Rapid Re-Housing",2019,"12/13/2019","","$6,250.00","","","ESG","Rapid Rehousing Services","","","",NA,"","City of Chula Vista|2019","271362","$0.02","$19.47","321","Diversion"
"16111-A2","City of Chula Vista","SBCS CORPORATION","Rapid Re-Housing",2019,"12/13/2019","","$5,745.00","","","ESG","Rapid Rehousing Services","","","",NA,"","City of Chula Vista|2019","271362","$0.02","$17.90","321","Diversion"
"","City of Chula Vista","ONE TIME VENDOR","Hotel/Motel Voucher",2019,"12/31/2019","","$560.65","","","CDBG","#N/A","","","",NA,"","City of Chula Vista|2019","271362","$0.00","$1.75","321","Crisis Management"
"","City of Chula Vista","ONE TIME VENDOR","Hotel/Motel Voucher",2019,"12/31/2019","","$560.65","","","CDBG","#N/A","","","",NA,"","City of Chula Vista|2019","271362","$0.00","$1.75","321","Crisis Management"
"1120","City of Chula Vista","INTERFAITH SHELTER NETWORK","Rotational Shelter",2020,"1/24/2020","","$3,226.48","","","CDBG","#N/A","","","",NA,"","City of Chula Vista|2020","273384","$0.01","$10.31","313","Crisis Management"
"","City of Chula Vista","ONE TIME VENDOR","Hotel/Motel Voucher",2020,"1/30/2020","","$385.98","","","CDBG","#N/A","","","",NA,"","City of Chula Vista|2020","273384","$0.00","$1.23","313","Crisis Management"
"17088","City of Chula Vista","SBCS CORPORATION","Tenant-Based Rental Assistance",2020,"2/20/2020","","$5,923.11","","","HOME","#N/A","","","",NA,"","City of Chula Vista|2020","273384","$0.02","$18.92","313","Prevention"
"17088","City of Chula Vista","SBCS CORPORATION","Tenant-Based Rental Assistance",2020,"2/20/2020","","$4,905.00","","","HOME","#N/A","","","",NA,"","City of Chula Vista|2020","273384","$0.02","$15.67","313","Prevention"
"16111-A2","City of Chula Vista","SBCS CORPORATION","Rapid Re-Housing",2020,"2/21/2020","","$5,959.00","","","ESG","Rapid Rehousing Services","","","",NA,"","City of Chula Vista|2020","273384","$0.02","$19.04","313","Diversion"
"16111-A2","City of Chula Vista","SBCS CORPORATION","Rapid Re-Housing",2020,"2/21/2020","","$5,610.00","","","ESG","Rapid Rehousing Services","","","",NA,"","City of Chula Vista|2020","273384","$0.02","$17.92","313","Diversion"
"17088","City of Chula Vista","SBCS CORPORATION","Tenant-Based Rental Assistance",2020,"2/21/2020","","$10,995.00","","","HOME","#N/A","","","",NA,"","City of Chula Vista|2020","273384","$0.04","$35.13","313","Prevention"
"17088","City of Chula Vista","SBCS CORPORATION","Tenant-Based Rental Assistance",2020,"2/21/2020","","$11,015.00","","","HOME","#N/A","","","",NA,"","City of Chula Vista|2020","273384","$0.04","$35.19","313","Prevention"
"1121","City of Chula Vista","SBCS CORPORATION","Homeless Services",2020,"2/24/2020","","$8,767.00","","","CDBG","Supportive Services","","","",NA,"","City of Chula Vista|2020","273384","$0.03","$28.01","313","Crisis Management"
"","City of Chula Vista","ONE TIME VENDOR","Hotel/Motel Voucher",2020,"2/26/2020","","$385.98","","","CDBG","#N/A","","","",NA,"","City of Chula Vista|2020","273384","$0.00","$1.23","313","Crisis Management"
"","City of Chula Vista","ONE TIME VENDOR","Hotel/Motel Voucher",2020,"2/26/2020","","$220.56","","","CDBG","#N/A","","","",NA,"","City of Chula Vista|2020","273384","$0.00","$0.70","313","Crisis Management"
"1120","City of Chula Vista","INTERFAITH SHELTER NETWORK","Rotational Shelter",2020,"2/28/2020","","$2,799.92","","","CDBG","#N/A","","","",NA,"","City of Chula Vista|2020","273384","$0.01","$8.95","313","Crisis Management"
"1120","City of Chula Vista","INTERFAITH SHELTER NETWORK","Rotational Shelter",2020,"5/7/2020","","$3,464.22","","","CDBG","#N/A","","","",NA,"","City of Chula Vista|2020","273384","$0.01","$11.07","313","Crisis Management"
"17088","City of Chula Vista","SBCS CORPORATION","Tenant-Based Rental Assistance",2020,"5/23/2020","","$10,436.00","","","HOME","#N/A","","","",NA,"","City of Chula Vista|2020","273384","$0.04","$33.34","313","Prevention"
"17088","City of Chula Vista","SBCS CORPORATION","Tenant-Based Rental Assistance",2020,"5/23/2020","","$10,365.00","","","HOME","#N/A","","","",NA,"","City of Chula Vista|2020","273384","$0.04","$33.12","313","Prevention"
"17088","City of Chula Vista","SBCS CORPORATION","Tenant-Based Rental Assistance",2020,"5/23/2020","","$9,626.00","","","HOME","#N/A","","","",NA,"","City of Chula Vista|2020","273384","$0.04","$30.75","313","Prevention"
"16111-A2","City of Chula Vista","SBCS CORPORATION","Rapid Re-Housing",2020,"6/19/2020","","$2,546.61","","","ESG","Rapid Rehousing Services","","","",NA,"","City of Chula Vista|2020","273384","$0.01","$8.14","313","Diversion"
"16111-A2","City of Chula Vista","SBCS CORPORATION","Rapid Re-Housing",2020,"6/19/2020","","$6,481.00","","","ESG","Rapid Rehousing Services","","","",NA,"","City of Chula Vista|2020","273384","$0.02","$20.71","313","Diversion"
"16111-A3","City of Chula Vista","SBCS CORPORATION","Rapid Re-Housing",2020,"6/19/2020","","$3,108.39","","","ESG","Rapid Rehousing Services","","","",NA,"","City of Chula Vista|2020","273384","$0.01","$9.93","313","Diversion"
"16111-A3","City of Chula Vista","SBCS CORPORATION","Rapid Re-Housing",2020,"6/19/2020","","$5,205.00","","","ESG","Rapid Rehousing Services","","","",NA,"","City of Chula Vista|2020","273384","$0.02","$16.63","313","Diversion"
"16111-A3","City of Chula Vista","SBCS CORPORATION","Rapid Re-Housing",2020,"6/19/2020","","$5,125.00","","","ESG","Rapid Rehousing Services","","","",NA,"","City of Chula Vista|2020","273384","$0.02","$16.37","313","Diversion"
"17088","City of Chula Vista","SBCS CORPORATION","Tenant-Based Rental Assistance",2020,"6/19/2020","","$11,856.00","","","HOME","#N/A","","","",NA,"","City of Chula Vista|2020","273384","$0.04","$37.88","313","Prevention"
